stock_key,company_name,sector,industry,exchange,market_cap_group,listing_date,is_vn30
AMC,CTCP Khoáng sản Á Châu,Materials,Mining,HNX,Penny,2002-01-01,0
AME,CTCP Alphanam E&C,Industrials,Electrical Equipment,HNX,Penny,2010-01-01,0
AMV,CTCP SXKD Dược và Thiết bị Y tế Việt Mỹ,Health Care,Medical Equipment,HNX,Penny,2010-01-01,0
ANT,CTCP Rau quả Thực phẩm An Giang,Consumer Staples,Agriculture,UPCOM,Penny,2020-01-01,0
ANV,CTCP Nam Việt,Consumer Staples,Seafood,HOSE,Midcap,2007-12-07,0
APG,CTCP Chứng khoán APG,Financials,Securities,HOSE,Penny,2010-01-01,0
APH,CTCP Tập đoàn An Phát Holdings,Materials,Plastics,HOSE,Midcap,2020-07-28,0
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Real Estate,Real Estate,HNX,Penny,2010-01-01,0
APS,CTCP Chứng khoán Châu Á - Thái Bình Dương,Financials,Securities,HNX,Penny,2010-01-01,0
ARM,CTCP Xuất nhập khẩu Hàng không,Industrials,Logistics,UPCOM,Penny,2015-01-01,0
ASG,CTCP Tập đoàn ASG,Industrials,Logistics,HOSE,Midcap,2020-10-20,0
ASM,CTCP Tập đoàn Sao Mai,Real Estate,Real Estate,HOSE,Midcap,2010-01-18,0
ASP,CTCP Dầu khí An Dương,Utilities,Gas Utilities,HOSE,Penny,2008-01-01,0
AST,CTCP Dịch vụ Hàng không Taseco,Consumer Discretionary,Retail,HOSE,Midcap,2018-01-04,0
ATS,CTCP Suất ăn Công nghiệp Atesco,Consumer Discretionary,Food Services,UPCOM,Penny,2017-01-01,0
BAB,Ngân hàng TMCP Bắc Á,Financials,Banks,HNX,Midcap,2017-12-28,0
BAF,CTCP Nông nghiệp BAF Việt Nam,Consumer Staples,Agriculture,HOSE,Midcap,2021-12-03,0
BAX,CTCP Thống Nhất,Real Estate,Industrial Parks,HNX,Penny,2017-01-01,0
BBS,CTCP Vicem Bao bì Bút Sơn,Materials,Packaging,HNX,Penny,2008-01-01,0
BCC,CTCP Xi măng Vicem Bút Sơn,Materials,Cement,HNX,Penny,2006-12-05,0
BCE,CTCP Xây dựng và Giao thông Bình Dương,Industrials,Construction,HOSE,Penny,2010-01-01,0
BCF,CTCP Thực phẩm Bích Chi,Consumer Staples,Food Products,HNX,Penny,2020-01-01,0
BCG,CTCP Tập đoàn Bamboo Capital,Financials,Investment,HOSE,Midcap,2015-07-16,0
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp,Real Estate,Industrial Parks,HOSE,Bluechip,2018-08-31,1
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Consumer Discretionary,Publishing,HNX,Penny,2008-01-01,0
BFC,CTCP Phân bón Bình Điền,Materials,Fertilizers,HOSE,Midcap,2015-10-07,0
BHN,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,Consumer Staples,Beverages,HOSE,Bluechip,2017-01-19,0
BIC,Tổng CTCP Bảo hiểm Ngân hàng BIDV,Financials,Insurance,HOSE,Midcap,2011-01-01,0
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Financials,Banks,HOSE,Bluechip,2014-01-24,1
BKC,CTCP Khoáng sản Bắc Kạn,Materials,Mining,HNX,Penny,2009-01-01,0
BKG,CTCP Đầu tư BKG Việt Nam,Materials,Home Furnishings,HOSE,Penny,2021-01-01,0
BMC,CTCP Khoáng sản Bình Định,Materials,Mining,HOSE,Penny,2006-01-01,0
BMI,Tổng CTCP Bảo Minh,Financials,Insurance,HOSE,Midcap,2006-11-28,0
BMP,CTCP Nhựa Bình Minh,Materials,Plastics,HOSE,Midcap,2006-02-08,0
BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,Consumer Staples,Food Products,HNX,Penny,2020-10-12,0
BPC,CTCP Vicem Bao bì Bỉm Sơn,Materials,Packaging,HNX,Penny,2002-01-01,0
BRC,CTCP Cao su Bến Thành,Materials,Rubber Products,HOSE,Penny,2007-01-01,0
BSI,CTCP Chứng khoán BIDV,Financials,Securities,HOSE,Midcap,2010-07-19,0
BSR,CTCP Lọc hóa dầu Bình Sơn,Energy,Oil & Gas,UPCOM,Bluechip,2018-03-01,0
BTP,CTCP Nhiệt điện Bà Rịa,Utilities,Electric Utilities,HOSE,Penny,2007-01-01,0
BTS,CTCP Xi măng Vicem Hoàng Thạch,Materials,Cement,HNX,Penny,2008-01-01,0
BTT,CTCP Thương mại Dịch vụ Bến Thành,Consumer Discretionary,Retail,HOSE,Penny,2004-01-01,0
BTW,CTCP Cấp nước Bến Thành,Utilities,Water Utilities,UPCOM,Penny,2010-01-01,0
BVH,Tập đoàn Bảo Việt,Financials,Insurance,HOSE,Bluechip,2009-06-25,1
BVS,CTCP Chứng khoán Bảo Việt,Financials,Securities,HNX,Midcap,2006-12-18,0
BWE,CTCP Nước - Môi trường Bình Dương,Utilities,Water Utilities,HOSE,Midcap,2017-07-20,0
BXH,CTCP Vicem Bao bì Hải Phòng,Materials,Packaging,HNX,Penny,2002-01-01,0
C32,CTCP Đầu tư Xây dựng 3-2,Materials,Building Materials,HOSE,Penny,2012-01-01,0
C47,CTCP Xây dựng 47,Industrials,Construction,HOSE,Penny,2011-01-01,0
C69,CTCP Xây dựng 1369,Industrials,Construction,HNX,Penny,2017-01-01,0
CAG,CTCP Cảng An Giang,Industrials,Logistics,HOSE,Penny,2018-01-01,0
CAN,CTCP Đồ hộp Hạ Long,Consumer Staples,Food Products,HOSE,Penny,2001-01-01,0
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Materials,Paper,HNX,Midcap,2008-01-01,0
CAR,CTCP Tập đoàn Giáo dục Trí Việt,Consumer Discretionary,Education,UPCOM,Penny,2020-01-01,0
CCC,CTCP Xây lắp và Thiết bị Công nghiệp,Industrials,Construction,UPCOM,Penny,2015-01-01,0
CCI,CTCP Đầu tư Phát triển Công nghiệp Củ Chi,Real Estate,Industrial Parks,HOSE,Penny,2010-01-01,0
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Real Estate,Real Estate,HOSE,Penny,2011-01-01,0
CDC,CTCP Chương Dương,Industrials,Construction,HOSE,Penny,2006-01-01,0
CEO,CTCP Tập đoàn C.E.O,Real Estate,Real Estate,HNX,Midcap,2014-09-29,0
CET,CTCP Tech - Vina,Materials,Chemicals,HNX,Penny,2017-01-01,0
CHP,CTCP Thủy điện Miền Trung,Utilities,Electric Utilities,HOSE,Midcap,2014-01-01,0
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Industrials,Logistics,HNX,Penny,2017-01-01,0
CIG,CTCP COMA 18,Industrials,Construction,HOSE,Penny,2011-01-01,0
CII,CTCP Đầu tư Hạ tầng Kỹ thuật TP.HCM,Industrials,Infrastructure,HOSE,Midcap,2006-05-18,0
CJC,CTCP Cơ điện Miền Trung,Industrials,Electrical Equipment,HNX,Penny,2004-01-01,0
CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Real Estate,Real Estate,HOSE,Midcap,2020-07-29,0
CKV,CTCP Cáp Điện và Hệ thống Viễn thông,Industrials,Electrical Equipment,HNX,Penny,2010-01-01,0
CLC,CTCP Cát Lợi,Consumer Staples,Tobacco,HOSE,Penny,2006-01-01,0
CLH,CTCP Xi măng La Hiên VVMI,Materials,Cement,HNX,Penny,2015-01-01,0
CLL,CTCP Cảng Cát Lái,Industrials,Logistics,HOSE,Penny,2014-01-01,0
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Energy,Coal,HNX,Penny,2015-01-01,0
CLW,CTCP Cấp nước Chợ Lớn,Utilities,Water Utilities,HOSE,Penny,2010-01-01,0
CMC,CTCP Đầu tư và Xây dựng Công trình Trung ương,Industrials,Construction,HOSE,Penny,2009-01-01,0
CMG,CTCP Tập đoàn Công nghệ CMC,Technology,IT Services,HOSE,Midcap,2010-01-22,0
CMS,CTCP Xây dựng và Nhân lực Việt Nam,Industrials,Construction,HNX,Penny,2010-01-01,0
CMV,CTCP Thương nghiệp Cà Mau,Consumer Discretionary,Retail,HOSE,Penny,2010-01-01,0
CMX,CTCP Camimex Group,Consumer Staples,Seafood,HOSE,Midcap,2010-01-01,0
CNG,CTCP CNG Việt Nam,Utilities,Gas Utilities,HOSE,Midcap,2011-01-01,0
COM,CTCP Vật tư Xăng dầu,Energy,Oil & Gas,HOSE,Penny,2000-01-01,0
CPC,CTCP Thuốc sát trùng Cần Thơ,Materials,Chemicals,HNX,Penny,2004-01-01,0
CRC,CTCP Giải pháp Solar-BK,Utilities,Renewable Energy,HOSE,Penny,2018-01-01,0
CRE,CTCP Bất động sản Thế Kỷ (CenLand),Real Estate,Real Estate Services,HOSE,Midcap,2018-09-05,0
CRV,CTCP Tập đoàn Bất động sản CRV,Real Estate,Real Estate,UPCOM,Midcap,2022-01-01,0
CSC,CTCP Tập đoàn COTANA,Industrials,Construction,HNX,Penny,2010-01-01,0
CSM,CTCP Công nghiệp Cao su Miền Nam,Industrials,Tires,HOSE,Midcap,2009-01-01,0
CST,CTCP Than Cao Sơn - TKV,Energy,Coal,HNX,Midcap,2020-01-01,0
CSV,CTCP Hóa chất Cơ bản Miền Nam,Materials,Chemicals,HOSE,Midcap,2015-01-01,0
CTB,CTCP Chế tạo Bơm Hải Dương,Industrials,Machinery,HNX,Penny,2010-01-01,0
CTD,CTCP Xây dựng Coteccons,Industrials,Construction,HOSE,Midcap,2010-01-20,0
CTF,CTCP City Auto,Consumer Discretionary,Retail,HOSE,Midcap,2017-01-01,0
CTG,Ngân hàng TMCP Công Thương Việt Nam,Financials,Banks,HOSE,Bluechip,2009-07-16,1
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,Industrials,Construction,HOSE,Midcap,2010-01-01,0
CTP,CTCP Minh Khang Capital Trading Public,Materials,Coffee,HNX,Penny,2016-01-01,0
CTR,Tổng CTCP Công trình Viettel,Industrials,Telecommunications,HOSE,Midcap,2022-02-23,0
CTS,CTCP Chứng khoán Ngân hàng Công thương VN,Financials,Securities,HOSE,Midcap,2017-01-01,0
CTT,CTCP Chế tạo Máy và Thiết bị điện TBD,Industrials,Electrical Equipment,HNX,Penny,2008-01-01,0
CVT,CTCP CMC,Materials,Building Materials,HOSE,Midcap,2006-01-01,0
CX8,CTCP Đầu tư và Xây lắp 8,Industrials,Construction,HNX,Penny,2010-01-01,0
D11,CTCP Địa ốc 11,Real Estate,Real Estate,HNX,Penny,2010-01-01,0
D2D,CTCP Phát triển Đô thị Công nghiệp Số 2,Real Estate,Industrial Parks,HOSE,Midcap,2009-01-01,0
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,Consumer Discretionary,Education,HNX,Penny,2008-01-01,0
DAE,CTCP Giáo dục Đào tạo và Sách Đại học Dạy nghề,Consumer Discretionary,Education,HNX,Penny,2006-01-01,0
DAH,CTCP Tập đoàn Khách sạn Đông Á,Consumer Discretionary,Hotels,HOSE,Penny,2016-01-01,0
DAT,CTCP Đầu tư Du lịch và Phát triển Thủy sản,Consumer Staples,Seafood,HOSE,Penny,2010-01-01,0
DBC,CTCP Tập đoàn Dabaco Việt Nam,Consumer Staples,Agriculture,HOSE,Midcap,2008-01-01,0
DBD,CTCP Dược - Trang thiết bị Y tế Bình Định,Health Care,Pharmaceuticals,HOSE,Midcap,2018-01-01,0
DBT,CTCP Dược phẩm Bến Tre,Health Care,Pharmaceuticals,HOSE,Penny,2009-01-01,0
DC2,CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2,Industrials,Construction,HOSE,Penny,2010-01-01,0
DC4,CTCP Xây dựng DIC Holdings,Industrials,Construction,HOSE,Penny,2010-01-01,0
DCL,CTCP Dược phẩm Cửu Long,Health Care,Pharmaceuticals,HOSE,Midcap,2008-01-01,0
DCM,CTCP Phân bón Dầu khí Cà Mau,Materials,Fertilizers,HOSE,Midcap,2015-03-31,0
DDG,CTCP Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Industrials,Energy Services,HNX,Penny,2018-01-01,0
DGC,CTCP Tập đoàn Hóa chất Đức Giang,Materials,Chemicals,HOSE,Midcap,2014-08-04,0
DGW,CTCP Thế Giới Số,Consumer Discretionary,Electronics Retail,HOSE,Midcap,2015-07-24,0
DHA,CTCP Hóa An,Materials,Building Materials,HOSE,Penny,2004-01-01,0
DHC,CTCP Đông Hải Bến Tre,Materials,Paper & Packaging,HOSE,Midcap,2009-01-01,0
DHG,CTCP Dược Hậu Giang,Health Care,Pharmaceuticals,HOSE,Bluechip,2006-12-21,0
DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Materials,Mining,HOSE,Penny,2012-01-01,0
DHP,CTCP Điện cơ Hải Phòng,Industrials,Electrical Equipment,HNX,Penny,2007-01-01,0
DHT,CTCP Dược phẩm Hà Tây,Health Care,Pharmaceuticals,HNX,Penny,2008-01-01,0
DIG,Tổng CTCP Đầu tư Phát triển Xây dựng,Real Estate,Real Estate,HOSE,Midcap,2009-08-19,0
DIH,CTCP Đầu tư Phát triển Xây dựng Hội An,Real Estate,Real Estate,HNX,Penny,2009-01-01,0
DL1,CTCP Tập đoàn Alpha Seven,Industrials,Investment,HNX,Penny,2010-01-01,0
DLG,CTCP Tập đoàn Đức Long Gia Lai,Industrials,Multi-sector,HOSE,Penny,2010-01-01,0
DMC,CTCP Xuất nhập khẩu Y tế Domesco,Health Care,Pharmaceuticals,HOSE,Midcap,2006-01-01,0
DNC,CTCP Điện nước Lắp máy Hải Phòng,Utilities,Utilities,HNX,Penny,2010-01-01,0
DNP,CTCP Nhựa Đồng Nai,Materials,Plastics,HNX,Midcap,2006-01-01,0
DP3,CTCP Dược phẩm Trung ương 3,Health Care,Pharmaceuticals,HNX,Penny,2015-01-01,0
DPG,CTCP Tập đoàn Đạt Phương,Industrials,Construction,HOSE,Midcap,2018-01-01,0
DPM,Tổng CTCP Phân bón và Hóa chất Dầu khí,Materials,Fertilizers,HOSE,Midcap,2007-11-05,0
DPR,CTCP Cao su Đồng Phú,Materials,Rubber,HOSE,Midcap,2007-01-01,0
DQC,CTCP Bóng đèn Điện Quang,Consumer Discretionary,Household Goods,HOSE,Penny,2008-01-01,0
DRC,CTCP Cao su Đà Nẵng,Industrials,Tires,HOSE,Midcap,2006-01-01,0
DRH,CTCP DRH Holdings,Real Estate,Real Estate,HOSE,Penny,2010-01-01,0
DRL,CTCP Thủy điện - Điện lực Đắk Lắk,Utilities,Electric Utilities,HOSE,Penny,2009-01-01,0
DS3,CTCP Quản lý và Xây dựng Đường bộ I Lào Cai,Industrials,Construction,HNX,Penny,2015-01-01,0
DSC,CTCP Chứng khoán DSC,Financials,Securities,HOSE,Midcap,2018-01-01,0
DSE,CTCP Chứng khoán DNSE,Financials,Securities,HOSE,Midcap,2024-07-01,0
DSN,CTCP Công viên nước Đầm Sen,Consumer Discretionary,Travel & Leisure,HOSE,Penny,2010-01-01,0
DST,CTCP Đầu tư Sao Thăng Long,Financials,Investment,HNX,Penny,2007-01-01,0
DTA,CTCP Đệ Tam,Real Estate,Real Estate,HOSE,Penny,2010-01-01,0
DTD,CTCP Đầu tư Phát triển Thành Đạt,Industrials,Construction,HNX,Penny,2017-01-01,0
DTG,CTCP Dược phẩm Tipharco,Health Care,Pharmaceuticals,HNX,Penny,2023-01-01,0
DTL,CTCP Đại Thiên Lộc,Materials,Steel,HOSE,Penny,2010-01-01,0
DTT,CTCP Kỹ nghệ Đô Thành,Materials,Plastics,HOSE,Penny,2003-01-01,0
DVM,CTCP Dược liệu Việt Nam,Health Care,Pharmaceuticals,HNX,Penny,2022-01-01,0
DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Industrials,Logistics,HOSE,Midcap,2009-01-01,0
DXG,CTCP Tập đoàn Đất Xanh,Real Estate,Real Estate,HOSE,Midcap,2009-12-22,0
DXP,CTCP Cảng Đoạn Xá,Industrials,Logistics,HNX,Penny,2002-01-01,0
DXS,CTCP Dịch vụ Bất động sản Đất Xanh,Real Estate,Real Estate Services,HOSE,Midcap,2021-07-01,0
DXV,CTCP Vicem Vật liệu Xây dựng Đà Nẵng,Materials,Building Materials,HOSE,Penny,2001-01-01,0
EBS,CTCP Sách Giáo khoa tại TP. Hà Nội,Consumer Discretionary,Publishing,HNX,Penny,2008-01-01,0
ECI,CTCP Bản đồ và Tranh ảnh Giáo dục,Consumer Discretionary,Publishing,HNX,Penny,2006-01-01,0
EIB,Ngân hàng TMCP Xuất Nhập khẩu Việt Nam,Financials,Banks,HOSE,Bluechip,2009-10-27,0
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Consumer Discretionary,Education,HNX,Penny,2008-01-01,0
ELC,CTCP Công nghệ - Viễn thông Elcom,Technology,IT Services,HOSE,Midcap,2010-01-01,0
EVE,CTCP Everpia,Consumer Discretionary,Home Furnishings,HOSE,Penny,2010-01-01,0
EVF,CTCP Tài chính Điện lực,Financials,Financial Services,HOSE,Midcap,2022-01-01,0
EVG,CTCP Tập đoàn Everland,Real Estate,Real Estate,HOSE,Penny,2017-01-01,0
EVS,CTCP Chứng khoán Everest,Financials,Securities,HNX,Penny,2019-01-01,0
FCM,CTCP Khoáng sản Fecon,Materials,Building Materials,HOSE,Penny,2013-01-01,0
FCN,CTCP FECON,Industrials,Construction,HOSE,Midcap,2012-01-01,0
FDC,CTCP Ngoại thương và Phát triển Đầu tư TP.HCM,Real Estate,Real Estate,HOSE,Penny,2001-01-01,0
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Financials,Investment,HNX,Penny,2015-01-01,0
FIR,CTCP Địa ốc First Real,Real Estate,Real Estate,HOSE,Penny,2018-01-01,0
FIT,CTCP Tập đoàn F.I.T,Financials,Investment,HOSE,Penny,2013-01-01,0
FMC,CTCP Thực phẩm Sao Ta,Consumer Staples,Seafood,HOSE,Midcap,2006-01-01,0
FPT,Tập đoàn FPT,Technology,Software & Services,HOSE,Bluechip,2006-12-13,1
FRT,CTCP Bán lẻ Kỹ thuật số FPT,Consumer Discretionary,Retail,HOSE,Midcap,2018-04-26,0
FTS,CTCP Chứng khoán FPT,Financials,Securities,HOSE,Midcap,2017-01-01,0
GAS,Tổng Công ty Khí Việt Nam,Utilities,Gas Utilities,HOSE,Bluechip,2012-05-21,1
GDT,CTCP Gỗ Đức Thành,Consumer Discretionary,Home Furnishings,HOSE,Penny,2009-01-01,0
GDW,CTCP Cấp nước Gia Định,Utilities,Water Utilities,UPCOM,Penny,2010-01-01,0
GEE,CTCP Điện Cơ Thống Nhất,Industrials,Electrical Equipment,UPCOM,Penny,2015-01-01,0
GEG,CTCP Điện Gia Lai,Utilities,Renewable Energy,HOSE,Midcap,2019-01-01,0
GEX,CTCP Tập đoàn GELEX,Industrials,Electrical Equipment,HOSE,Midcap,2015-10-01,0
GIC,CTCP Đầu tư và Dịch vụ Cảng Xanh VIP,Industrials,Logistics,UPCOM,Penny,2016-01-01,0
GIL,CTCP Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh,Consumer Discretionary,Textiles,HOSE,Midcap,2002-01-01,0
GKM,CTCP Khang Minh Group,Materials,Building Materials,HNX,Penny,2017-01-01,0
GLT,CTCP Viễn thông - Tin học Bưu điện,Technology,IT Services,HOSE,Penny,2005-01-01,0
GMA,CTCP GKM Holdings,Materials,Building Materials,HNX,Penny,2017-01-01,0
GMD,CTCP Gemadept,Industrials,Logistics,HOSE,Midcap,2002-04-22,0
GMH,CTCP Minh Hưng Quảng Trị,Materials,Building Materials,HOSE,Penny,2021-01-01,0
GMX,CTCP Gạch ngói Nhị Hiệp,Materials,Building Materials,HNX,Penny,2010-01-01,0
GSP,CTCP Vận tải Sản phẩm khí Quốc tế,Industrials,Logistics,HOSE,Penny,2012-01-01,0
GTA,CTCP Gỗ Thuận An,Consumer Discretionary,Home Furnishings,HOSE,Penny,2007-01-01,0
GVR,Tập đoàn Công nghiệp Cao su Việt Nam,Industrials,Rubber,HOSE,Bluechip,2018-03-21,1
HAD,CTCP Bia Hà Nội - Hải Dương,Consumer Staples,Beverages,HNX,Penny,2008-01-01,0
HAG,CTCP Hoàng Anh Gia Lai,Consumer Staples,Agriculture,HOSE,Midcap,2008-12-15,0
HAH,CTCP Vận tải và Xếp dỡ Hải An,Industrials,Logistics,HOSE,Midcap,2014-03-11,0
HAP,CTCP Tập đoàn Hapaco,Industrials,Multi-sector,HOSE,Penny,2000-01-01,0
HAR,CTCP Bất động sản An Dương Thảo Điền,Real Estate,Real Estate,HOSE,Penny,2013-01-01,0
HAS,CTCP Hacasco,Consumer Discretionary,Textiles,HOSE,Penny,2002-01-01,0
HAT,CTCP Thương mại Bia Hà Nội,Consumer Staples,Beverages,HNX,Penny,2008-01-01,0
HAX,CTCP Dịch vụ Ô tô Hàng Xanh,Consumer Discretionary,Retail,HOSE,Midcap,2006-01-01,0
HBS,CTCP Chứng khoán Hòa Bình,Financials,Securities,HNX,Penny,2010-01-01,0
HCC,CTCP Bê tông Hòa Cầm - Intimex,Materials,Building Materials,HNX,Penny,2008-01-01,0
HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,Materials,Plastics,HOSE,Penny,2016-01-01,0
HCM,CTCP Chứng khoán TP.Hồ Chí Minh,Financials,Securities,HOSE,Midcap,2009-05-19,0
HCT,CTCP Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Industrials,Logistics,HNX,Penny,2008-01-01,0
HDA,CTCP Hãng sơn Đông Á,Materials,Chemicals,HNX,Penny,2015-01-01,0
HDB,Ngân hàng TMCP Phát triển TP.HCM,Financials,Banks,HOSE,Bluechip,2018-01-05,1
HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,Real Estate,Real Estate,HOSE,Midcap,2009-01-01,0
HDG,CTCP Tập đoàn Hà Đô,Real Estate,Real Estate,HOSE,Midcap,2010-02-02,0
HEV,CTCP Sách Đại học - Dạy nghề,Consumer Discretionary,Publishing,HNX,Penny,2007-01-01,0
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,Materials,Mining,HNX,Penny,2009-01-01,0
HHC,CTCP Bánh kẹo Hải Hà,Consumer Staples,Food Products,HNX,Penny,2007-01-01,0
HHP,CTCP Giấy Hoàng Hà Hải Phòng,Materials,Paper,HOSE,Penny,2021-01-01,0
HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Consumer Discretionary,Retail,HOSE,Midcap,2012-01-01,0
HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,Industrials,Infrastructure,HOSE,Midcap,2022-01-20,0
HID,CTCP Halcom Việt Nam,Industrials,Infrastructure,HOSE,Penny,2016-01-01,0
HII,CTCP An Tiến Industries,Materials,Chemicals,HOSE,Penny,2017-01-01,0
HJS,CTCP Thủy điện Nậm Mu,Utilities,Electric Utilities,HNX,Penny,2005-01-01,0
HKT,CTCP Chè Hiệp Khánh,Consumer Staples,Agriculture,HNX,Penny,2010-01-01,0
HLC,CTCP Than Hà Lầm - TKV,Energy,Coal,HNX,Penny,2006-01-01,0
HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,Real Estate,Real Estate,HNX,Penny,2011-01-01,0
HMC,CTCP Kim khí TP.Hồ Chí Minh,Materials,Steel,HOSE,Penny,2006-01-01,0
HMH,CTCP Hải Minh,Industrials,Logistics,HNX,Penny,2007-01-01,0
HMR,CTCP Đá Hoàng Mai,Materials,Building Materials,HNX,Penny,2021-01-01,0
HNA,CTCP Thủy điện Hứa Na,Utilities,Electric Utilities,HOSE,Penny,2024-01-01,0
HOM,CTCP Xi măng Vicem Hoàng Mai,Materials,Cement,UPCOM,Penny,2002-01-01,0
HPG,Tập đoàn Hòa Phát,Materials,Steel,HOSE,Bluechip,2007-11-15,1
HPX,CTCP Đầu tư Hải Phát,Real Estate,Real Estate,HOSE,Midcap,2018-01-01,0
HQC,CTCP TV-TM-DV Địa ốc Hoàng Quân,Real Estate,Real Estate,HOSE,Penny,2010-12-15,0
HRC,CTCP Cao su Hòa Bình,Materials,Rubber,HOSE,Penny,2006-01-01,0
HSG,CTCP Tập đoàn Hoa Sen,Materials,Steel,HOSE,Midcap,2008-11-05,0
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,Consumer Staples,Food Products,HOSE,Penny,2018-01-01,0
HT1,CTCP Xi măng Vicem Hà Tiên,Materials,Cement,HOSE,Midcap,2007-01-01,0
HTC,CTCP Thương mại Hóc Môn,Consumer Discretionary,Retail,HNX,Penny,2002-01-01,0
HTG,CTCP Dệt may Hòa Thọ,Consumer Discretionary,Textiles,HOSE,Penny,2023-01-01,0
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,Industrials,Infrastructure,HOSE,Penny,2010-01-01,0
HTL,CTCP Kỹ thuật và Ô tô Trường Long,Consumer Discretionary,Retail,HOSE,Penny,2007-01-01,0
HTN,CTCP Hưng Thịnh Incons,Industrials,Construction,HOSE,Midcap,2018-11-09,0
HTV,CTCP Logistics Vicem,Industrials,Logistics,HOSE,Penny,2008-01-01,0
HU1,CTCP Đầu tư và Xây dựng HUD1,Industrials,Construction,HOSE,Penny,2011-01-01,0
HUB,CTCP Xây lắp Thừa Thiên Huế,Industrials,Construction,HOSE,Penny,2017-01-01,0
HUT,CTCP Tasco,Industrials,Infrastructure,HNX,Midcap,2008-01-01,0
HVH,CTCP Đầu tư và Công nghệ HVC,Industrials,Construction,HOSE,Penny,2018-01-01,0
HVN,Tổng CTCP Hàng không Việt Nam,Industrials,Airlines,HOSE,Bluechip,2019-05-07,0
HVT,CTCP Hóa chất Việt Trì,Materials,Chemicals,HNX,Penny,2009-01-01,0
